id,type,cluster,label,path,lifecycle,decision,target,reason
"model-hp-elitebook-840","model","notebook-hp-dell-msi","HP EliteBook 840","/รับซื้อ-hp-elitebook-840-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","EliteBook 840 spans many G-generations with very different platforms; generation must be part of ownership before index."
"model-hp-probook-440","model","notebook-hp-dell-msi","HP ProBook 440","/รับซื้อ-hp-probook-440-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","ProBook 440 spans numerous G-generations; hold until generation-level content strategy is explicit."
"model-dell-xps-13","model","notebook-hp-dell-msi","Dell XPS 13","/รับซื้อ-dell-xps-13-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","XPS 13 is a long-running family with materially different model numbers/platforms; too broad for release without generation ownership."
"model-msi-cyborg-15","model","notebook-hp-dell-msi","MSI Cyborg 15","/รับซื้อ-msi-cyborg-15-ขอนแก่น/","INDEX","RELEASE","","Distinct gaming family with clear 15-inch seller intent; suitable for dedicated inspection content."
"model-msi-thin-15","model","notebook-hp-dell-msi","MSI Thin 15","/รับซื้อ-msi-thin-15-ขอนแก่น/","INDEX","RELEASE","","Distinct budget-gaming family; can be separated from Katana/Cyborg when exact model code and GPU/TGP are requested."
"model-msi-raider-ge68","model","notebook-hp-dell-msi","MSI Raider GE68","/รับซื้อ-msi-raider-ge68-ขอนแก่น/","INDEX","RELEASE","","High-value GE68 family has distinct chassis/performance intent and merits dedicated valuation guidance."
"model-msi-modern-14","model","notebook-hp-dell-msi","MSI Modern 14","/รับซื้อ-msi-modern-14-ขอนแก่น/","HOLD_NOINDEX","KEEP_HOLD","","Modern 14 is broad across generations and CPU platforms; hold until family-level differentiation is sufficiently unique."
"model-iphone-11","model","iphone","iPhone 11","/รับซื้อ-iphone-11-ขอนแก่น/","INDEX","RELEASE","","Exact iPhone generation with independent resale intent and device-specific checks."
"model-iphone-11-pro","model","iphone","iPhone 11 Pro","/รับซื้อ-iphone-11-pro-ขอนแก่น/","INDEX","RELEASE","","Exact Pro variant with independent storage/camera/display valuation intent."
"model-iphone-11-pro-max","model","iphone","iPhone 11 Pro Max","/รับซื้อ-iphone-11-pro-max-ขอนแก่น/","INDEX","RELEASE","","Exact Pro Max variant with distinct size/battery/display resale intent."
"model-iphone-12-mini","model","iphone","iPhone 12 mini","/รับซื้อ-iphone-12-mini-ขอนแก่น/","INDEX","RELEASE","","Distinct mini form factor and battery profile justify separate valuation guidance."
"model-iphone-12-pro","model","iphone","iPhone 12 Pro","/รับซื้อ-iphone-12-pro-ขอนแก่น/","INDEX","RELEASE","","Exact Pro variant fills the gap between live iPhone 12 and 12 Pro Max pages."
"model-iphone-13-mini","model","iphone","iPhone 13 mini","/รับซื้อ-iphone-13-mini-ขอนแก่น/","INDEX","RELEASE","","Distinct mini form factor and battery profile provide unique inspection intent."
"model-iphone-14-plus","model","iphone","iPhone 14 Plus","/รับซื้อ-iphone-14-plus-ขอนแก่น/","INDEX","RELEASE","","Distinct large non-Pro variant with separate display/battery/configuration intent."
"model-iphone-15-plus","model","iphone","iPhone 15 Plus","/รับซื้อ-iphone-15-plus-ขอนแก่น/","INDEX","RELEASE","","Distinct Plus variant and USB-C generation support independent seller intent."
"model-iphone-16","model","iphone","iPhone 16","/รับซื้อ-iphone-16-ขอนแก่น/","INDEX","RELEASE","","Exact current-generation base model intent is separate from live 16 Pro/Pro Max pages."
"model-iphone-16-plus","model","iphone","iPhone 16 Plus","/รับซื้อ-iphone-16-plus-ขอนแก่น/","INDEX","RELEASE","","Exact Plus variant has distinct size/battery configuration and independent commercial intent."
"model-ipad-air-m2-13","model","ipad","iPad Air M2 13-inch","/รับซื้อ-ipad-air-m2-13-ขอนแก่น/","INDEX","RELEASE","","13-inch Air M2 has distinct size/accessory/value profile from the live 11-inch page."
"model-ipad-pro-m1-12-9","model","ipad","iPad Pro M1 12.9-inch","/รับซื้อ-ipad-pro-m1-12-9-ขอนแก่น/","INDEX","RELEASE","","12.9-inch M1 Pro has distinct display/size/accessory intent from the live 11-inch M1 page."
"model-ipad-pro-m2-12-9","model","ipad","iPad Pro M2 12.9-inch","/รับซื้อ-ipad-pro-m2-12-9-ขอนแก่น/","INDEX","RELEASE","","12.9-inch M2 Pro has independent size/display/accessory valuation intent."
"model-ipad-pro-m4-13","model","ipad","iPad Pro M4 13-inch","/รับซื้อ-ipad-pro-m4-13-ขอนแก่น/","INDEX","RELEASE","","13-inch M4 Pro is materially different in size/configuration from the live 11-inch M4 page."
"model-ipad-mini-a17-pro","model","ipad","iPad mini A17 Pro","/รับซื้อ-ipad-mini-a17-pro-ขอนแก่น/","INDEX","RELEASE","","Exact newer mini generation has independent chipset/storage/connectivity intent from iPad mini 6."
"model-rtx-3070-ti","model","gpu","GeForce RTX 3070 Ti","/รับซื้อ-rtx-3070-ti-ขอนแก่น/","INDEX","RELEASE","","Exact GPU SKU with independent VRAM/power/performance resale intent."
"model-rtx-3080-ti","model","gpu","GeForce RTX 3080 Ti","/รับซื้อ-rtx-3080-ti-ขอนแก่น/","INDEX","RELEASE","","Exact higher-tier Ampere SKU with distinct VRAM/power inspection requirements."
"model-rtx-3090","model","gpu","GeForce RTX 3090","/รับซื้อ-rtx-3090-ขอนแก่น/","INDEX","RELEASE","","24GB-class flagship SKU has clearly distinct memory/power/use-history valuation intent."
"model-rtx-4080","model","gpu","GeForce RTX 4080","/รับซื้อ-rtx-4080-ขอนแก่น/","INDEX","RELEASE","","Exact Ada SKU remains distinct from the live 4080 SUPER page and needs SKU verification."
"model-rtx-4090","model","gpu","GeForce RTX 4090","/รับซื้อ-rtx-4090-ขอนแก่น/","INDEX","RELEASE","","High-value flagship SKU has uniquely strong connector/power/condition inspection intent."
"model-rx-6700-xt","model","gpu","Radeon RX 6700 XT","/รับซื้อ-rx-6700-xt-ขอนแก่น/","INDEX","RELEASE","","Exact RDNA2 SKU provides independent VRAM/power/board-partner valuation intent."
"model-rx-7600","model","gpu","Radeon RX 7600","/รับซื้อ-rx-7600-ขอนแก่น/","INDEX","RELEASE","","Exact RDNA3 mainstream SKU has distinct VRAM/power/condition intent."
"model-rx-7700-xt","model","gpu","Radeon RX 7700 XT","/รับซื้อ-rx-7700-xt-ขอนแก่น/","INDEX","RELEASE","","Exact RDNA3 SKU fills the gap below the live RX 7800 XT page."
"model-rx-7900-xt","model","gpu","Radeon RX 7900 XT","/รับซื้อ-rx-7900-xt-ขอนแก่น/","INDEX","RELEASE","","Exact 20GB-class SKU is distinct from the live RX 7900 XTX page."
"model-fujifilm-x-t20","model","camera","Fujifilm X-T20","/รับซื้อ-fujifilm-x-t20-ขอนแก่น/","INDEX","RELEASE","","Exact Fujifilm body with distinct older-generation sensor/body/condition intent."
"model-fujifilm-x-h1","model","camera","Fujifilm X-H1","/รับซื้อ-fujifilm-x-h1-ขอนแก่น/","INDEX","RELEASE","","Distinct X-H1 body and stabilization/chassis profile support dedicated inspection guidance."
"model-olympus-em5-mark-iii","model","camera","Olympus OM-D E-M5 Mark III","/รับซื้อ-olympus-em5-mark-iii-ขอนแก่น/","INDEX","RELEASE","","Exact E-M5 Mark III body is distinct from the live E-M10 III page and supports separate inspection intent."
"model-panasonic-g85","model","camera","Panasonic Lumix G85","/รับซื้อ-panasonic-g85-ขอนแก่น/","INDEX","RELEASE","","Exact G85 body provides distinct Micro Four Thirds/IBIS/video/condition intent from the live GH5 page."
"guide-โน้ตบุ๊กบานพับแตกประเมินยังไง","guide","guide-notebook","โน้ตบุ๊กบานพับแตกประเมินอย่างไร","/บทความ/โน้ตบุ๊กบานพับแตกประเมินยังไง/","HOLD_NOINDEX","MERGE","/รับซื้อโน้ตบุ๊กบานพับแตก-ขอนแก่น/","Commercial condition page already owns the exact hinge-broken intent."
"guide-iphone-ฝาหลังแตกขายได้ไหม","guide","guide-iphone","iPhone ฝาหลังแตกขายได้ไหม","/บทความ/iphone-ฝาหลังแตกขายได้ไหม/","HOLD_NOINDEX","MERGE","/รับซื้อiphone-ฝาหลังแตก-ขอนแก่น/","Exact iPhone back-glass condition page already owns the commercial query."
"guide-iphone-ติดผ่อนตรวจยังไง","guide","guide-iphone","วิธีตรวจสถานะเครื่องก่อนขาย iPhone","/บทความ/iphone-ติดผ่อนตรวจยังไง/","HOLD_NOINDEX","KEEP_HOLD","","Ownership/finance status cannot be reliably inferred from device settings alone; requires provider/finance-specific evidence and Thai editorial/legal review."
"guide-วิธีเช็ก-ipad-งอ","guide","guide-ipad","วิธีเช็ก iPad ว่าเครื่องงอหรือไม่","/บทความ/วิธีเช็ก-ipad-งอ/","HOLD_NOINDEX","MERGE","/รับซื้อipad-เครื่องงอ-ขอนแก่น/","Exact bent-iPad condition page already explains inspection and valuation flow."
"guide-การ์ดจอพัดลมดังประเมินยังไง","guide","guide-gpu","การ์ดจอพัดลมดังประเมินอย่างไร","/บทความ/การ์ดจอพัดลมดังประเมินยังไง/","HOLD_NOINDEX","MERGE","/รับซื้อการ์ดจอพัดลมดัง-ขอนแก่น/","Exact noisy-GPU-fan condition page already owns this problem intent."
"guide-ขายไอทีมือสองต้องมีใบเสร็จไหม","guide","guide-selling","ขายสินค้าไอทีมือสองต้องมีใบเสร็จไหม","/บทความ/ขายไอทีมือสองต้องมีใบเสร็จไหม/","HOLD_NOINDEX","KEEP_HOLD","","Receipt/ownership requirements vary by transaction and legal/business context; keep noindex until Thai legal/editorial review is complete."
