id,path,type,cluster,label,lifecycle,parent,directory,required_sections
model-asus-tuf-gaming-a14,/รับซื้อ-asus-tuf-gaming-a14-ขอนแก่น/,model,notebook-asus,ASUS TUF Gaming A14,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-tuf-gaming-a15,/รับซื้อ-asus-tuf-gaming-a15-ขอนแก่น/,model,notebook-asus,ASUS TUF Gaming A15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-tuf-gaming-a16,/รับซื้อ-asus-tuf-gaming-a16-ขอนแก่น/,model,notebook-asus,ASUS TUF Gaming A16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-asus-tuf-gaming-f15,/รับซื้อ-asus-tuf-gaming-f15-ขอนแก่น/,model,notebook-asus,ASUS TUF Gaming F15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-legion-5,/รับซื้อ-lenovo-legion-5-ขอนแก่น/,model,notebook-lenovo,Lenovo Legion 5,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-legion-5i,/รับซื้อ-lenovo-legion-5i-ขอนแก่น/,model,notebook-lenovo,Lenovo Legion 5i,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-legion-7,/รับซื้อ-lenovo-legion-7-ขอนแก่น/,model,notebook-lenovo,Lenovo Legion 7,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-legion-pro-5,/รับซื้อ-lenovo-legion-pro-5-ขอนแก่น/,model,notebook-lenovo,Lenovo Legion Pro 5,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-legion-pro-7,/รับซื้อ-lenovo-legion-pro-7-ขอนแก่น/,model,notebook-lenovo,Lenovo Legion Pro 7,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-loq-15,/รับซื้อ-lenovo-loq-15-ขอนแก่น/,model,notebook-lenovo,Lenovo LOQ 15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-loq-16,/รับซื้อ-lenovo-loq-16-ขอนแก่น/,model,notebook-lenovo,Lenovo LOQ 16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-thinkpad-t14,/รับซื้อ-lenovo-thinkpad-t14-ขอนแก่น/,model,notebook-lenovo,Lenovo ThinkPad T14,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-thinkpad-x1-carbon,/รับซื้อ-lenovo-thinkpad-x1-carbon-ขอนแก่น/,model,notebook-lenovo,Lenovo ThinkPad X1 Carbon,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-lenovo-ideapad-slim-5,/รับซื้อ-lenovo-ideapad-slim-5-ขอนแก่น/,model,notebook-lenovo,Lenovo IdeaPad Slim 5,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-acer-nitro-v15,/รับซื้อ-acer-nitro-v15-ขอนแก่น/,model,notebook-acer,Acer Nitro V 15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-acer-nitro-5,/รับซื้อ-acer-nitro-5-ขอนแก่น/,model,notebook-acer,Acer Nitro 5,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-acer-predator-helios-neo-16,/รับซื้อ-acer-predator-helios-neo-16-ขอนแก่น/,model,notebook-acer,Acer Predator Helios Neo 16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-acer-predator-helios-16,/รับซื้อ-acer-predator-helios-16-ขอนแก่น/,model,notebook-acer,Acer Predator Helios 16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-acer-aspire-3,/รับซื้อ-acer-aspire-3-ขอนแก่น/,model,notebook-acer,Acer Aspire 3,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-acer-aspire-5,/รับซื้อ-acer-aspire-5-ขอนแก่น/,model,notebook-acer,Acer Aspire 5,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-acer-swift-go-14,/รับซื้อ-acer-swift-go-14-ขอนแก่น/,model,notebook-acer,Acer Swift Go 14,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-hp-victus-15,/รับซื้อ-hp-victus-15-ขอนแก่น/,model,notebook-hp-dell-msi,HP Victus 15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-hp-victus-16,/รับซื้อ-hp-victus-16-ขอนแก่น/,model,notebook-hp-dell-msi,HP Victus 16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-hp-omen-16,/รับซื้อ-hp-omen-16-ขอนแก่น/,model,notebook-hp-dell-msi,HP Omen 16,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-hp-elitebook-840,/รับซื้อ-hp-elitebook-840-ขอนแก่น/,model,notebook-hp-dell-msi,HP EliteBook 840,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-hp-probook-440,/รับซื้อ-hp-probook-440-ขอนแก่น/,model,notebook-hp-dell-msi,HP ProBook 440,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-dell-latitude-7440,/รับซื้อ-dell-latitude-7440-ขอนแก่น/,model,notebook-hp-dell-msi,Dell Latitude 7440,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-dell-xps-13,/รับซื้อ-dell-xps-13-ขอนแก่น/,model,notebook-hp-dell-msi,Dell XPS 13,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-dell-g15,/รับซื้อ-dell-g15-ขอนแก่น/,model,notebook-hp-dell-msi,Dell G15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-msi-katana-15,/รับซื้อ-msi-katana-15-ขอนแก่น/,model,notebook-hp-dell-msi,MSI Katana 15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-msi-cyborg-15,/รับซื้อ-msi-cyborg-15-ขอนแก่น/,model,notebook-hp-dell-msi,MSI Cyborg 15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-msi-thin-15,/รับซื้อ-msi-thin-15-ขอนแก่น/,model,notebook-hp-dell-msi,MSI Thin 15,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-msi-raider-ge68,/รับซื้อ-msi-raider-ge68-ขอนแก่น/,model,notebook-hp-dell-msi,MSI Raider GE68,INDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-msi-modern-14,/รับซื้อ-msi-modern-14-ขอนแก่น/,model,notebook-hp-dell-msi,MSI Modern 14,HOLD_NOINDEX,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-air-m1,/รับซื้อ-macbook-air-m1-ขอนแก่น/,model,macbook,MacBook Air M1,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-air-m2,/รับซื้อ-macbook-air-m2-ขอนแก่น/,model,macbook,MacBook Air M2,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-air-m3,/รับซื้อ-macbook-air-m3-ขอนแก่น/,model,macbook,MacBook Air M3,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-air-m4,/รับซื้อ-macbook-air-m4-ขอนแก่น/,model,macbook,MacBook Air M4,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-13-m1,/รับซื้อ-macbook-pro-13-m1-ขอนแก่น/,model,macbook,MacBook Pro 13 M1,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-14-m1-pro,/รับซื้อ-macbook-pro-14-m1-pro-ขอนแก่น/,model,macbook,MacBook Pro 14 M1 Pro,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-16-m1-pro,/รับซื้อ-macbook-pro-16-m1-pro-ขอนแก่น/,model,macbook,MacBook Pro 16 M1 Pro,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-14-m2-pro,/รับซื้อ-macbook-pro-14-m2-pro-ขอนแก่น/,model,macbook,MacBook Pro 14 M2 Pro,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-16-m2-pro,/รับซื้อ-macbook-pro-16-m2-pro-ขอนแก่น/,model,macbook,MacBook Pro 16 M2 Pro,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-14-m3,/รับซื้อ-macbook-pro-14-m3-ขอนแก่น/,model,macbook,MacBook Pro 14 M3,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-14-m4,/รับซื้อ-macbook-pro-14-m4-ขอนแก่น/,model,macbook,MacBook Pro 14 M4,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-macbook-pro-16-m4-pro,/รับซื้อ-macbook-pro-16-m4-pro-ขอนแก่น/,model,macbook,MacBook Pro 16 M4 Pro,INDEX,/รับซื้อ-macbook-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-iphone-11,/รับซื้อ-iphone-11-ขอนแก่น/,model,iphone,iPhone 11,INDEX,/รับซื้อ-iphone-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-iphone-11-pro,/รับซื้อ-iphone-11-pro-ขอนแก่น/,model,iphone,iPhone 11 Pro,INDEX,/รับซื้อ-iphone-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-iphone-11-pro-max,/รับซื้อ-iphone-11-pro-max-ขอนแก่น/,model,iphone,iPhone 11 Pro Max,INDEX,/รับซื้อ-iphone-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-iphone-12,/รับซื้อ-iphone-12-ขอนแก่น/,model,iphone,iPhone 12,INDEX,/รับซื้อ-iphone-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
model-iphone-12-mini,/รับซื้อ-iphone-12-mini-ขอนแก่น/,model,iphone,iPhone 12 mini,INDEX,/รับซื้อ-iphone-ขอนแก่น/,/ยี่ห้อและรุ่นที่รับซื้อ/,ภาพรวมรุ่น/ซีรีส์ | รุ่นย่อยและสเปกที่มีผลต่อราคา | จุดตรวจเฉพาะรุ่น | ปัจจัยราคา | อุปกรณ์/ประกัน | FAQ เฉพาะรุ่น
