Slot ID,Priority,URL,Page type,Section,Component,Current content,Current visual type,Image needed,Image purpose,Recommended source type,Real photo required,AI allowed,Evidence risk,Recommended subject,Orientation,Aspect ratio,Desktop rendered width,Mobile rendered width,Recommended master size,Recommended responsive widths,Recommended format,Maximum file size,Loading strategy,Fetch priority,Object fit,Object position,Alt strategy,Caption required,Structured data relevance,Reuse policy,Notes
ART-COMP-01,P2,/บทความ/ขายคอมทั้งเครื่อง-vs-แยกชิ้นส่วน/,Article,Comparison,article body,Text/table,None,Optional,Support comparison,AI Illustration,No,Yes,Low,Neutral whole PC versus separated components diagram,Landscape,16:9,760px,345px,1400x788,"480|768|1024|1280",SVG,60KB,lazy,auto,contain,center,Describe comparison structure,No,No,Single article,Do not render text-heavy table as raster
ABOUT-OWNER-01,P0,/เกี่ยวกับเรา/,About,Introduction,legal__in,Company text,None,Yes,Identify accountable real people,Real Business Evidence,Yes,No,Critical,Real owner or authorized team portrait,Portrait,4:5,320px,280px,1200x1500,"320|480|640|960",AVIF+WebP,110KB,eager,high,cover,center top,Name role only with approval,Yes,Organization founder/employee,About only,Consent release required; never AI
ABOUT-BASE-01,P0,/เกี่ยวกับเรา/,About,Business evidence,legal__in,Company details,None,Yes,Prove operating base without claiming Khon Kaen shop,Real Business Evidence,Yes,No,Critical,Actual registered office or operations base accurately captioned,Landscape,3:2,720px,345px,1600x1067,"480|768|1024|1280|1600",AVIF+WebP,140KB,lazy,auto,cover,center,Describe actual location generically unless publishable,Yes,Organization location only if accurate,About/contact reuse,Caption must state this is not a Khon Kaen walk-in branch when relevant
ABOUT-DOC-01,P0,/เกี่ยวกับเรา/,About,Legal identity,document card,Company text,None,Yes,Corroborate company identity,Real Business Evidence,Yes,No,Critical,Publishable company registration excerpt with sensitive fields redacted,Landscape,4:3,520px,345px,1400x1050,"480|768|1024",WebP,120KB,lazy,auto,contain,center,Describe document type and redaction,Yes,Organization identifier where valid,About only,Legal/privacy review before publication
CONTACT-TEAM-01,P0,/ติดต่อเรา/,Contact,Contact introduction,legal__in,Contact links,None,Yes,Human reassurance before contact,Real Business Evidence,Yes,No,High,Authorized real contact team member in work setting,Landscape,3:2,360px,345px,1200x800,"480|768|1024",AVIF+WebP,100KB,lazy,auto,cover,center,Describe staff role without unverified location,Yes,No,Contact/About reuse,Consent required; no fake call center
CONTACT-QR-01,P1,/ติดต่อเรา/,Contact,LINE contact,QR block,Text link,None,Yes,Reduce contact friction,Licensed Product or Manufacturer Assets,No,No,Low,Official LINE QR generated for @buyhub,Square,1:1,240px,200px,600x600,"240|360|480",PNG,45KB,lazy,auto,contain,center,LINE QR สำหรับติดต่อ @buyhub,Yes,No,Contact and final CTA,Verify destination every release; do not stylize QR with AI
TXN-CASE-01,P2,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,Category,Example scenario,scenario card,Explicit example text,None,Deferred,Upgrade example to verified case only with evidence,Verified Transaction Evidence,Yes,No,Critical,Consented anonymized real notebook case,Landscape,4:3,520px,345px,1200x900,"480|768|1024",AVIF+WebP,110KB,lazy,auto,cover,center,Describe verified product and inspection only,Yes,No,One page only,DEFERRED; never create replacement image
REVIEW-EVID-01,P2,/เกี่ยวกับเรา/,About,Testimonials,future module,None,None,Deferred,Social proof,Verified Transaction Evidence,Yes,No,Critical,Consented review evidence with identity minimized,Landscape,4:3,520px,345px,1200x900,"480|768|1024",WebP,100KB,lazy,auto,contain,center,Describe review source and date only if verified,Yes,Review only with policy compliance,One verified context,DEFERRED; no fabricated reviews or screenshots
OG-HOME-01,P1,/,Social,Open Graph,meta image,Generic OG PNG,PNG graphic,Yes,Improve social CTR,Icon or SVG Illustration,No,Yes,Low,Brand service promise plus neutral device shapes,Landscape,1.91:1,1200px,1200px,1200x630,1200,PNG or WebP,250KB,social crawler,none,contain,center,WINNER IT service summary,No,PrimaryImageOfPage,Home and generic fallback,No unverifiable price or location claim
OG-INTENT-01,P2,/รับซื้อโน้ตบุ๊ก-ขอนแก่น/,Social,Open Graph,meta image,Generic OG PNG,PNG graphic,Yes,Match category/article/local intent,AI Illustration,No,Yes,Medium,Five truthful intent templates category condition article local company,Landscape,1.91:1,1200px,1200px,1200x630,1200,PNG or WebP,250KB,social crawler,none,contain,center,Page-specific truthful summary,No,PrimaryImageOfPage,Reuse by intent group,Local template must not show storefront or completed service
LEGAL-PRIV-01,NO-IMAGE,/นโยบายความเป็นส่วนตัว/,Legal,Body,legal__in,Structured legal text,None,No,Preserve readability,No Image,No,No,Low,None,None,None,0,0,None,None,None,0,None,None,None,None,No alt,No,No,None,No content image
LEGAL-TERM-01,NO-IMAGE,/ข้อกำหนดการใช้บริการ/,Legal,Body,legal__in,Structured legal text,None,No,Preserve readability,No Image,No,No,Low,None,None,None,0,0,None,None,None,0,None,None,None,None,No alt,No,No,None,No content image
ERR-404-01,NO-IMAGE,/404,404,Hero,error-hero,Inline SVG,SVG illustration,No,Keep page light,Icon or SVG Illustration,No,Yes,Low,Existing abstract device/error icon,Landscape,11:9,360px,260px,440x360,440,SVG,20KB,eager,auto,contain,center,Decorative alt empty,No,No,404 only,Existing vector is sufficient
BLOG-INDEX-01,P2,/บทความ/,Article index,Post cards,post-list,Text cards,None,Optional,Improve article scanning,AI Illustration,No,Yes,Low,Intent-group thumbnail system not per-post decoration,Landscape,16:9,270px,345px,960x540,"320|480|640",AVIF+WebP,60KB,lazy,auto,cover,center,Describe article concept,No,No,Reuse by intent group,Limit unique image requests above fold to 3
