slug,path,categories,h1,title,sources
"hotel-office-it","/รับซื้ออุปกรณ์ไอทีโรงแรม-ขอนแก่น/","bulk-buyout|computer|monitor","รับซื้ออุปกรณ์ไอทีโรงแรม ขอนแก่น","รับซื้ออุปกรณ์ไอทีโรงแรม ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"factory-office-it","/รับซื้อคอมสำนักงานโรงงาน-ขอนแก่น/","bulk-buyout|computer|monitor","รับซื้อคอมและอุปกรณ์สำนักงานโรงงาน ขอนแก่น","รับซื้อคอมและอุปกรณ์สำนักงานโรงงาน ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"retail-pos-lot","/รับซื้อคอม-pos-อุปกรณ์ร้านค้า-ขอนแก่น/","bulk-buyout|computer|monitor","รับซื้อคอม POS และอุปกรณ์ร้านค้า ขอนแก่น","รับซื้อคอม POS และอุปกรณ์ร้านค้า ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"company-phone-lot","/รับซื้อมือถือบริษัท-ขอนแก่น/","bulk-buyout|smartphone|iphone","รับซื้อมือถือบริษัทเป็นล็อต ขอนแก่น","รับซื้อมือถือบริษัทเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://support.google.com/work/android/answer/9562029?hl=en|https://support.apple.com/guide/business/release-devices-axmec4d28461/web"
"company-iphone-lot","/รับซื้อ-iphone-บริษัท-ขอนแก่น/","bulk-buyout|iphone","รับซื้อ iPhone บริษัทเป็นล็อต ขอนแก่น","รับซื้อ iPhone บริษัทเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://support.apple.com/guide/business/release-devices-axmec4d28461/web"
"company-ipad-lot","/รับซื้อ-ipad-บริษัท-ขอนแก่น/","bulk-buyout|ipad-tablet","รับซื้อ iPad บริษัทเป็นล็อต ขอนแก่น","รับซื้อ iPad บริษัทเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://support.apple.com/guide/business/release-devices-axmec4d28461/web"
"company-macbook-lot","/รับซื้อ-macbook-บริษัท-ขอนแก่น/","bulk-buyout|macbook|notebook","รับซื้อ MacBook บริษัทเป็นล็อต ขอนแก่น","รับซื้อ MacBook บริษัทเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://support.apple.com/guide/business/release-devices-axmec4d28461/web"
"it-asset-disposal","/รับซื้อทรัพย์สินไอทีเก่า-ขอนแก่น/","bulk-buyout|computer","รับซื้อทรัพย์สินไอทีเก่า ขอนแก่น","รับซื้อทรัพย์สินไอทีเก่า ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"obsolete-it-lot","/รับซื้ออุปกรณ์ไอทีตกรุ่นยกล็อต-ขอนแก่น/","bulk-buyout|computer|notebook","รับซื้ออุปกรณ์ไอทีตกรุ่นเป็นล็อต ขอนแก่น","รับซื้ออุปกรณ์ไอทีตกรุ่นเป็นล็อต ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"mixed-it-lot","/รับซื้อสินค้าไอทีหลายประเภท-ขอนแก่น/","bulk-buyout|computer|notebook|monitor|smartphone","รับซื้อสินค้าไอทีหลายประเภทพร้อมกัน ขอนแก่น","รับซื้อสินค้าไอทีหลายประเภทพร้อมกัน ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final|https://support.apple.com/guide/business/release-devices-axmec4d28461/web"
"inventory-clearance-it","/รับซื้อสต็อกอุปกรณ์ไอทีค้าง-ขอนแก่น/","bulk-buyout|gadget|monitor","รับซื้อสต็อกอุปกรณ์ไอทีค้าง ขอนแก่น","รับซื้อสต็อกอุปกรณ์ไอทีค้าง ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
"corporate-quotation-buyback","/ใบเสนอราคารับซื้ออุปกรณ์ไอทีบริษัท-ขอนแก่น/","bulk-buyout","ประเมินรับซื้อพร้อมใบเสนอราคาสำหรับบริษัท ขอนแก่น","ประเมินรับซื้อพร้อมใบเสนอราคาสำหรับบริษัท ขอนแก่น จัด Asset List ตรวจสภาพและเอกสารก่อนส่งมอบ | WINNER IT","https://csrc.nist.gov/pubs/sp/800/88/r2/final"
